Code;Nom;Type-de-retenue;Région;Département;Commune;Rivière;Date-construction;Lat;Lon;Lat. barrage;Long. Barrage;Lat. retenue;Long. Retenue;hauteur (m);Volume_Mm3;superficie_ha;Sbassin amont (km²);altitude_mNGF;Maitre-ouvrage_exploitant;Usages
229;Isola 2000;"Type ""classique""";PACA;Alpes Maritimes;Isola;Chastillon;2006;44,1808;7,17083;44,181229;7,17347;44,180587;7,174704;15;0,13;1,7;?;2173;Syndicat Mixte Des Stations Du Mercantour / Société D’économie Mixte Des Cimes Du Mercantour;Loisirs
230;Itchoury;"Type ""classique"" végétation arborée";Nouvelle Aquitaine;Pyrénées-Atlantiques;Gabat;Itchoury;?;43,3794;-1,03922;;;;;16,0;0,2;2,82;?;?;?;Irrigation
231;Izourt;à déterminer;Occitanie;Ariège;Auzat;Arties;1940;42,6928;1,49722;42,69289;1,497238;42,689641;1,49771;42;7,9;33;14,9;1647;EDF;Hydroélectricité
232;Jeloseko;à déterminer;Nouvelle Aquitaine;Pyrénées-Atlantiques;Amorots-Succos;Jelosoko;2007;43,3525;-1,11333;43,352453;-1,113237;43,352141;-1,113827;18;0,225;3;2,3;129;?;Irrigation
233;Jointine;;Auvergne-Rhône-Alpes;Ardèche;Saint-Victor;Jointine;1979;45,1;4,70944;;;;;18,4;0,38;6;7,5;462,5;ASA Irrigation de la Jointine;Irrigation / Alimentation en eau
234;Jons;"Type ""linéaire rivière";Auvergne-Rhône-Alpes;Ain;Niévroz;Le Rhône;1937;45,8128;5,085;;;;;16,7;55,0;linéaire;?;?;EDF;Hydroélectricité
235;Jotty;;Auvergne-Rhône-Alpes;Haute-Savoie;La Baume;La Dranse de Morzine;1949;46,2998;6,61705;;;;;22,5;1,14;18,3;195;650;EDF;Hydroélectricité
236;Jouandet;à déterminer;Nouvelle Aquitaine;Landes;Parleboscq;Lasmoulette;1988;43,975;0,0469444;;;;;15,6;0,8;16;6,4;115;Asa Bassin Landais De La Gelise;Irrigation
237;Jouques (canal de Jouques);digue de canal;PACA;Bouches du Rhône;Saint-Paul-lès-Durance;La Durance;1959;43,6875;5,71583;;;;;15,0;1,6;digue canal;?;?;EDF;Hydroélectricité
238;La Jourdanie;"retenue ""linéaire"" - fil de l'eau";Occitanie;Aveyron;Broquiès;Tarn;1932;44,0181;2,71389;44,017835;2,713654;44,019693;2,714583;16,75;5,3;74;3161;256;EDF;Hydroélectricité
